ID,City,Municipality,Neighborhood,Property_Type,Property_Subtype,Area,Rooms,Current_Floor,Total_Floors,Advertiser_Type,Photo_Count,Total_Price_EUR,Scrape_Date
5425645169233,Beograd,Zvezdara,Mirijevo,flat,Stan,41.49,1.0 Broj soba,I,4 Spratnost,Agencija,4,92409.0,2026-06-21 15:44:37
5425647022994,Beograd,Zvezdara,Bulevar kralja Aleksandra,flat,Stan,76.66,3.0 Broj soba,VII,8 Spratnost,Agencija,7,220000.0,2026-06-21 15:44:37
5425646808396,Beograd,Zvezdara,Mirijevo,flat,Stan,56.25,2.5 Broj soba,III,4 Spratnost,Agencija,10,140000.0,2026-06-21 15:44:37
5425645453138,Beograd,Zvezdara,Mirijevo,flat,Stan,64.36,3.0 Broj soba,PR,4 Spratnost,Agencija,10,160000.0,2026-06-21 15:44:37
5425647200836,Beograd,Vračar,Crveni krst,flat,Stan,66.0,3.0 Broj soba,VPR,5 Spratnost,Agencija,12,228000.0,2026-06-21 15:44:37
5425646109320,Beograd,Voždovac,Lekino brdo,flat,Stan,60.0,2.0 Broj soba,VPR,3 Spratnost,Agencija,3,220000.0,2026-06-21 15:44:37
5425647201545,Beograd,Palilula,Hadžipopovac,flat,Stan,68.0,3.0 Broj soba,III,3 Spratnost,Agencija,20,250000.0,2026-06-21 15:44:37
5425647201543,Beograd,Zvezdara,Mirijevo,flat,Stan,62.55,2.0 Broj soba,VPR,5 Spratnost,Vlasnik,13,190000.0,2026-06-21 15:44:37
5425647075690,Beograd,Voždovac,Činovnička kolonija,flat,Stan,123.0,4.0 Broj soba,V,6 Spratnost,Agencija,16,570000.0,2026-06-21 15:44:37
5425646713660,Beograd,Zemun,Cara Dušana,flat,Stan,67.14,3.0 Broj soba,II Spratnost,,Agencija,2,246550.0,2026-06-21 15:44:37
5425647200832,Beograd,Rakovica,Miljakovac,flat,Stan,35.0,1.5 Broj soba,VPR,3 Spratnost,Agencija,17,159900.0,2026-06-21 15:44:37
5425647200831,Beograd,Rakovica,Centar,flat,Stan,45.0,3.0 Broj soba,VPR,2 Spratnost,Agencija,11,185000.0,2026-06-21 15:44:37
5425647200829,Beograd,Zemun,Meandri,flat,Stan,114.0,4.0 Broj soba,PR Spratnost,,Agencija,7,230000.0,2026-06-21 15:44:37
5425646386049,Beograd,Voždovac,Činovnička kolonija,flat,Stan,108.0,4.5 Broj soba,I,1 Spratnost,Agencija,11,360000.0,2026-06-21 15:44:37
5425646815408,Beograd,Palilula,Padinska skela,flat,Stan,65.0,3.0 Broj soba,VPR Spratnost,,Agencija,11,58500.0,2026-06-21 15:44:37
5425647200825,Beograd,Savski venac,Humska,flat,Stan,124.0,3.0 Broj soba,II,2 Spratnost,Agencija,14,434000.0,2026-06-21 15:44:37
5425647174464,Beograd,Savski venac,Beograd na vodi,flat,Stan,176.0,4.0 Broj soba,XVIII,24 Spratnost,Agencija,18,1510000.0,2026-06-21 15:44:37
5425647009664,Beograd,Čukarica,Cerak,flat,Stan,170.0,4.0 Broj soba,I,3 Spratnost,Agencija,20,529000.0,2026-06-21 15:44:37
5425645051359,Beograd,Zvezdara,Učiteljsko naselje,flat,Stan,35.0,1.0 Broj soba,II,2 Spratnost,Vlasnik,17,127000.0,2026-06-21 15:44:37
5425646819567,Beograd,Novi Beograd,Blok 34 (Carina - Studentski grad),flat,Stan,73.0,3.5 Broj soba,PR,6 Spratnost,Agencija,12,255000.0,2026-06-21 15:44:37
